Colombia,A,colombia.jpg
Rumania,A,rumania.jpg
Suiza,A,suiza.jpg
Estados Unidos,A,estadosunidos.jpg
Brasil,B,brasil.jpg
Camerún,B,camerun.jpg
Rusia,B,rusia.jpg
Suecia,B,suecia.jpg
Bolivia,C,bolivia.jpg
Alemania,C,alemania.jpg
Corea del Sur,C,coreadelsur
España,C,espana.jpg
Argentina,D,argentina.jpg
Bulgaria,D,bulgaria.jpg
Grecia,D,grecia.jpg
Nigeria,D,nigeria.jpg
Italia,E,italia.jpg
México,E,mexico.jpg
Noruega,E,noruega.jpg
Irlanda,E,irlanda.jpg
Bélgica,F,belgica.jpg
Marruecos,F,marruecos.jpg
Países Bajos,F,paísesbajos.jpg
Arabia Saudita,F,arabiasaudita.jpg
Australia,G,australia.jpg
Costa Rica,G,costarica.jpg
Egipto,G,egipto.jpg
Francia,G,francia.jpg
Inglaterra,H,inglaterra.jpg
Irán,H,iran.jpg
Islandia,H,islandia.jpg
Japón,H,japon.jpg
